session,experiment,rolling_63d_correlation
2019-06-12,S00,0.1862415138879983
2019-06-13,S00,0.18897558850498006
2019-06-14,S00,0.1809117299457047
2019-06-17,S00,0.18221686753820168
2019-06-18,S00,0.18880518259982407
2019-06-19,S00,0.18522200686063012
2019-06-20,S00,0.20075664656520506
2019-06-21,S00,0.14694555232631043
2019-06-24,S00,0.1505352949613453
2019-06-25,S00,0.13846781077636452
2019-06-26,S00,0.1387444694553716
2019-06-27,S00,0.14581948959906013
2019-06-28,S00,0.13238877586221556
2019-07-01,S00,0.11877233556131041
2019-07-02,S00,0.12485009879631837
2019-07-03,S00,0.13382763955090177
2019-07-05,S00,0.13877985264094414
2019-07-08,S00,0.14429711762733027
2019-07-09,S00,0.14566068875524724
2019-07-10,S00,0.161678370860511
2019-07-11,S00,0.16058132006176745
2019-07-12,S00,0.15894987754874276
2019-07-15,S00,0.1594312101268685
2019-07-16,S00,0.16010911090095417
2019-07-17,S00,0.16312080732244721
2019-07-18,S00,0.15228688835972168
2019-07-19,S00,0.15366346436569794
2019-07-22,S00,0.1537594905598059
2019-07-23,S00,0.13539589697448495
2019-07-24,S00,0.12273737621229633
2019-07-25,S00,0.0905272459325839
2019-07-26,S00,0.08407929797517814
2019-07-29,S00,0.08559564275723672
2019-07-30,S00,0.0801469893995302
2019-07-31,S00,0.07193832347523849
2019-08-01,S00,0.0498790557746315
2019-08-02,S00,0.030273503080877288
2019-08-05,S00,0.013025383967936417
2019-08-06,S00,0.01985698380082813
2019-08-07,S00,0.01766157242928735
2019-08-08,S00,0.07253899720231731
2019-08-09,S00,0.07714001890548582
2019-08-12,S00,0.08175830403205457
2019-08-13,S00,0.10164226203557675
2019-08-14,S00,0.04344513712781622
2019-08-15,S00,0.07510865472895785
2019-08-16,S00,0.050466627203673384
2019-08-19,S00,0.02756297116192077
2019-08-20,S00,0.01862704749984386
2019-08-21,S00,0.016534417870342835
2019-08-22,S00,0.001210132864131305
2019-08-23,S00,0.023389712237616267
2019-08-26,S00,-0.005156107079444882
2019-08-27,S00,0.023039533338698622
2019-08-28,S00,0.030798523815692033
2019-08-29,S00,-0.0066551284315264315
2019-08-30,S00,0.0037882898283325044
2019-09-03,S00,-0.06333676635969801
2019-09-04,S00,-0.013802072500011312
2019-09-05,S00,-0.06806085000212736
2019-09-06,S00,-0.05115313572899317
2019-09-09,S00,-0.046796866731290535
2019-09-10,S00,-0.030376461991390928
2019-09-11,S00,-0.05965868903124999
2019-09-12,S00,-0.05281352719313032
2019-09-13,S00,-0.04828668398438899
2019-09-16,S00,-0.05581429814269
2019-09-17,S00,-0.05343884683575158
2019-09-18,S00,-0.05469414678696203
2019-09-19,S00,-0.05808980225250079
2019-09-20,S00,-0.06938623730985302
2019-09-23,S00,-0.07011288808373702
2019-09-24,S00,-0.06590045961924709
2019-09-25,S00,-0.07364938198997872
2019-09-26,S00,-0.0807408377584898
2019-09-27,S00,-0.06952035302880671
2019-09-30,S00,-0.07386204554353788
2019-10-01,S00,-0.07046342220908783
2019-10-02,S00,-0.09784908149698364
2019-10-03,S00,-0.09642335796192379
2019-10-04,S00,-0.10791426771929066
2019-10-07,S00,-0.11155932919213486
2019-10-08,S00,-0.11066729781212943
2019-10-09,S00,-0.09899573105140137
2019-10-10,S00,-0.10023291543571523
2019-10-11,S00,-0.09213941428868569
2019-10-14,S00,-0.09258204900614238
2019-10-15,S00,-0.09054054276036572
2019-10-16,S00,-0.09070020220303902
2019-10-17,S00,-0.0940885827657704
2019-10-18,S00,-0.09866441115845052
2019-10-21,S00,-0.1090662037302494
