date,symbol,adjusted_close_yahoo,adjusted_close_alpaca,return_yahoo,return_alpaca,return_difference
2024-11-08,VCR,359.1894836425781,359.85,0.013249815276517918,0.030262253779202997,0.01701243850268508
2024-11-15,VCR,354.5418395996094,359.81,-0.010029208399291556,0.0,0.010029208399291556
2024-11-18,VCR,357.53167724609375,357.68,0.008432961395644645,-0.005919791000805974,-0.014352752396450619
2024-12-24,VCR,387.76220703125,381.69,0.02246541284978054,0.004288796505814929,-0.018176616343965613
2024-12-26,VCR,387.1395263671875,387.99,-0.0016058312356683757,0.01650554114595626,0.018111372381624635
2024-12-27,VCR,379.944091796875,387.99,-0.018586153260640947,0.0,0.018586153260640947
2024-12-30,VCR,374.6365051269531,387.99,-0.013969388614047507,0.0,0.013969388614047507
2025-01-02,VCR,367.3125305175781,370.13,-0.009990005388420764,-0.04603211422974818,-0.036042108841327414
2025-01-03,VCR,375.367919921875,371.97,0.02193061421821385,0.004971226325885647,-0.016959387892328204
2025-01-06,VCR,377.0778198242187,378.97,0.004555263813432964,0.018818721939941385,0.014263458126508421
2025-01-10,VCR,366.6405029296875,368.84,-0.009108817209693143,0.003810145874156179,0.012918963083849322
2025-01-13,VCR,367.9352722167969,366.24,0.0035314409530953217,-0.007049126992733856,-0.010580567945829178
2025-01-15,VCR,377.6905822753906,367.17,0.027010360915972198,0.0,-0.027010360915972198
2025-01-16,VCR,375.367919921875,374.72,-0.006149643286106787,0.02056268213634005,0.026712325422446836
2025-01-21,VCR,384.5499572753906,382.91,0.010545139914451607,0.0,-0.010545139914451607
2025-01-23,VCR,384.9057922363281,382.75,0.005188127191921632,-0.00586997740318429,-0.011058104595105922
2025-02-04,VCR,385.6668701171875,383.04,0.015484828795516936,0.004985044865403854,-0.010499783930113082
2025-02-11,VCR,370.8015747070313,375.97,-0.011279722920653601,0.0,0.011279722920653601
2025-02-12,VCR,370.5841064453125,370.22,-0.0005864814945584218,-0.015293773439370106,-0.014707291944811685
2025-04-04,VCR,297.9124755859375,303.58,-0.04168109741204706,-0.02495583748193364,0.016725259930113423
2025-04-07,VCR,294.8712158203125,293.94,-0.010208568001871754,-0.03175439752289344,-0.021545829521021687
2025-04-14,VCR,310.869873046875,308.0,0.005253445825264658,-0.005135824800542532,-0.01038927062580719
2025-04-23,VCR,311.5534362792969,316.42,0.023596397744815478,0.042260944036365045,0.018664546291549566
2025-04-24,VCR,317.7745666503906,316.46,0.019968100642346,0.00012641425952830687,-0.01984168638281769
2025-04-28,VCR,323.1438293457031,326.17,0.000859099058497792,0.015346781222761896,0.014487682164264104
2025-04-29,VCR,325.273681640625,324.64,0.00659103501754732,-0.0046908054082227535,-0.011281840425770073
2025-05-01,VCR,324.4415588378906,325.34,0.005896976206588134,0.017259708586079503,0.01136273237949137
2025-05-21,VCR,347.94921875,352.14,-0.021751897728045866,-0.00847529213008591,0.013276605597959956
2025-06-02,VCR,352.8033142089844,349.12,0.0008431363042944451,-0.012474188894860294,-0.01331732519915474
2025-06-03,VCR,354.8043518066406,355.22,0.005671821995614668,0.017472502291475678,0.01180068029586101
2025-06-06,VCR,350.1583251953125,346.1,0.012837020900179574,0.0,-0.012837020900179574
2025-06-09,VCR,353.467041015625,353.08,0.009449199354226279,0.02016758162380805,0.010718382269581772
2025-06-17,VCR,347.78082275390625,351.15,-0.016169631301948928,-0.006141741197781103,0.010027890104167825
2025-06-20,VCR,348.22662353515625,347.87,0.0006832473040407905,-0.009340737576534197,-0.010023984880574988
2025-06-23,VCR,354.5171203613281,347.87,0.018064376475042332,0.0,-0.018064376475042332
