candidate,eligible,robust_sharpe,mean_sharpe,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_gross_total_return,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_net,train_average_abs_beta,train_missing_held_sessions,validation_sessions,validation_total_return,validation_cagr,validation_annual_volatility,validation_sharpe,validation_max_drawdown,validation_positive_day_rate,validation_gross_total_return,validation_total_transaction_cost,validation_total_borrow_cost,validation_annual_turnover,validation_average_gross,validation_average_abs_net,validation_average_abs_beta,validation_missing_held_sessions
residual_momentum_63_skip_5_tail20_r10,False,-0.1435906152480314,0.008105052470530852,1259,-0.03710809640795332,-0.0075402601586059825,0.045494058629023726,-0.1435906152480314,-0.08507411255886754,0.49722001588562353,0.025110567212588863,0.008614465554460786,0.053996170890325185,4.903891977760127,0.7205656996569579,0.007027098876206324,0.014321218870540473,0,502,0.009500938604094733,0.004758165388643487,0.03313800531212574,0.1598007201890931,-0.03831834892020314,0.5378486055776892,0.03565040166724365,0.0026338795754656044,0.022942043667432327,3.7649402390438245,0.7633690693843312,0.007724310401147559,0.02430428571798177,0
raw_momentum_63_skip_5_rank_r10,False,-0.14859018611035327,-0.0314680361141222,1259,-0.03944576114934539,-0.008023001475405689,0.0468273526062054,-0.14859018611035327,-0.08398547168350456,0.4837172359015091,0.024170262029438616,0.008612807633301602,0.05550903886248129,4.903891977760127,0.7405186099406429,0.006129111372663295,0.013158796478026083,0,502,0.004428433309487723,0.002220592301896973,0.03178921639126137,0.08565411388210886,-0.037862892656282954,0.5258964143426295,0.030752177113849477,0.002633733154609223,0.023238618963158916,3.7649402390438245,0.7730875227085785,0.006765941747684638,0.019432849841923654,0
residual_momentum_63_skip_5_tail30_r10,False,-0.15123194783346383,-0.11941006910985147,1259,-0.03528237136004875,-0.007163888876120961,0.04176683682720258,-0.15123194783346383,-0.07676715457958327,0.49722001588562353,0.02723117934906427,0.008612454548846012,0.05416929838693415,4.903891977760127,0.7223713944270518,0.005947756185827714,0.0121646416430925,0,502,-0.005994031867415983,-0.0030134607093956767,0.029495347262429836,-0.0875881903862391,-0.03481520130378701,0.5318725099601593,0.019569352686073405,0.0026333442911526768,0.02276060584112557,3.7649402390438245,0.7534246633064715,0.007442054086100118,0.018929365336592365,0
residual_momentum_252_skip_21_tail30_r21,False,-0.15531191247705764,-0.10451106183403064,1259,-0.04329654275281425,-0.008820263006245832,0.049217025589675466,-0.15531191247705764,-0.10972034751556559,0.4583002382843527,0.016237856385925786,0.003691761778875492,0.0566670953705478,2.1016679904686257,0.7542932919356852,0.008705244486333372,0.020054038911948915,0,502,-0.004416042344405402,-0.002219261099441705,0.03190380489849395,-0.05371021119100362,-0.029309000682068764,0.5219123505976095,0.024206636085171374,0.001228914837065479,0.027113271459857688,1.7569721115537849,0.9025753986170947,0.006401620201978864,0.023995634206358,0
residual_momentum_126_skip_21_tail30_r21,False,-0.16276761500894898,-0.042092245151484575,1259,-0.040652317429582974,-0.008272530103262676,0.0448427532634881,-0.16276761500894898,-0.10672264345193705,0.49404289118347894,0.017484638855578716,0.004129930787617357,0.05469751992319423,2.35186656076251,0.726960481542525,0.009917436938273039,0.025250735952644935,0,502,0.003694379295319461,0.0018528460811770842,0.028841767268885203,0.07858312470597983,-0.02943795327582388,0.5537848605577689,0.028759522653384106,0.001228823866690124,0.02343652737805088,1.7569721115537849,0.7768705961455743,0.00803841135151522,0.0297286664995412,0
residual_momentum_63_skip_5_rank_r5,False,-0.17267071849015161,-0.08391179393635088,1259,-0.04740174760191096,-0.009673031744611649,0.0492608343010219,-0.17267071849015161,-0.07980808138872231,0.49007148530579825,0.03539365871645961,0.017126870657840427,0.06621043346634978,9.749382928761799,0.8840326414226384,0.004497536984376712,0.011660799370527124,0,502,-0.0009342273393492251,-0.00046908382709143215,0.03588314622082831,0.004847130617449848,-0.03799358026962829,0.5338645418326693,0.033168633455222585,0.005346454428440653,0.028221584004779986,7.641856695047226,0.9403284805898041,0.004943662140388645,0.016112558484797326,0
residual_momentum_126_skip_21_tail20_r21,False,-0.17495125424431954,-0.00132143930334927,1259,-0.045115979342011836,-0.009197850294437537,0.04659615995865036,-0.17495125424431954,-0.10664267236575165,0.5027799841143765,0.011960586583769972,0.0041308409904659005,0.053916252693704855,2.35186656076251,0.7167235311006301,0.010299744550610957,0.029864172964889572,0,502,0.010134071963225688,0.005074450704971145,0.03242101080007792,0.172308375637621,-0.0349514439463704,0.5537848605577689,0.03581905973443922,0.0012290684017165353,0.02387981294638537,1.7569721115537849,0.7922848179048281,0.009107963889615942,0.043805276936116015,0
residual_momentum_126_skip_21_rank_r21,False,-0.1850258071467442,-0.05634823420653874,1259,-0.04839470923447675,-0.009879739714664715,0.047538265414844176,-0.1850258071467442,-0.11020693002581161,0.4932486100079428,0.010486538318392524,0.004130291143327408,0.055898005774201266,2.35186656076251,0.7428048981480487,0.009366723833830578,0.024168265672475302,0,502,0.003472567754018163,0.0017416966337295836,0.030466560064298497,0.0723293387336667,-0.03236822745690271,0.545816733067729,0.028974707367707575,0.001228935200235366,0.023866392931002463,1.7569721115537849,0.7917357049487027,0.008033779869373573,0.028080168394726587,0
raw_momentum_63_skip_5_tail30_r21,False,-0.18546197058568825,-0.12927914684964326,1259,-0.03707218537057666,-0.007532851635368876,0.03706243443163082,-0.18546197058568825,-0.07657749033129779,0.5027799841143765,0.006030690652245374,0.004129470016836629,0.03965479393609587,2.35186656076251,0.5273806396744698,0.007605262169108301,0.017813908271861786,0,502,-0.003851804328864117,-0.0019354331770428113,0.02291579668618618,-0.07309632311359826,-0.028939633819467958,0.5278884462151394,0.013896950125055207,0.0012287196845420312,0.01643144216910422,1.7569721115537849,0.5402428491866647,0.008806423750490573,0.02759369130165226,0
residual_momentum_63_skip_5_tail20_r5,False,-0.19064654695856725,0.002992454262550348,1259,-0.053355768885517185,-0.010915090998186106,0.050794362002118024,-0.19064654695856725,-0.09098716222347325,0.4932486100079428,0.026202999489389756,0.017149723194449046,0.06354347837492566,9.757744241461477,0.848772437204935,0.005815660235682005,0.013198416698781305,0,502,0.013843062670424455,0.006925317895947414,0.03895452082066392,0.19663145548366795,-0.04298760767811516,0.549800796812749,0.04757088483405636,0.005357677127413375,0.02737155263053458,7.655378486055777,0.9125150661750537,0.006144032264462905,0.019590483023694972,0
