symbol,security_id,sector,first_eligible,train_eligible_sessions,development_eligible_sessions
FITB,94f6f5c6-861b-47fc-b208-1e7765e4a68f,Financials,2018-10-01,1071,502
EXR,95631989-09cd-4964-860e-f766dfba5081,Real Estate,2018-10-01,1071,502
LEN,95ae860b-4cf1-4dfe-9159-9bd4cd3c7915,Consumer Discretionary,2018-10-01,1071,502
NEM,96da6121-b5ab-4f8b-bb53-60ae53cb5ed3,Materials,2018-10-01,1071,502
PHM,96f6e02d-e110-40c7-bff6-ade1c0e451c4,Consumer Discretionary,2018-10-01,1018,294
FICO,9785d232-7b97-43f2-8b4b-6bfb80c0442c,Information Technology,2020-03-04,208,341
REG,9809045e-45f8-4222-9fe3-b2bf437dd1bc,Real Estate,2018-10-01,114,0
SYF,981f70e6-3263-46df-ae90-283910e259c8,Financials,2018-10-01,1071,502
AEE,98ce4784-3b9a-4a4f-88ec-f2db2f1e8961,Utilities,2018-10-01,806,325
UAL,98dbc012-8ca2-4e68-b2f7-464fdc9bbf3c,Industrials,2018-10-01,1071,502
DTE,9bace756-e3ad-48de-932e-4690b2960730,Utilities,2018-10-01,1071,367
FTV,9bf5e7eb-549e-4d18-9a9e-21cc126cdde1,Industrials,2018-10-01,1071,278
HONA,9c488e0d-5ece-4791-b920-f66aa506b7ce,Industrials,,0,0
HRL,9d965268-d529-4b57-b211-b544310f1b30,Consumer Staples,2018-10-01,662,0
CSCO,9ec078b1-5167-4d3d-908c-a1e49be367f1,Information Technology,2018-10-01,1071,502
BRO,9f2f3d77-47e0-4e88-a13f-30a752b5dd5d,Financials,,0,0
ALL,9f5ab4fb-335d-41ef-83d9-4d0abbd61fde,Financials,2018-10-01,1071,502
CHD,9f96290f-07c9-4238-8763-105b17a49f59,Consumer Staples,2018-10-01,1071,341
VRT,a0026393-53a9-454c-89f9-1eb7cb4ae7af,Industrials,2024-04-29,0,171
SJM,a08ed46f-696f-43fb-9b98-a2634646ad7a,Consumer Staples,2018-10-01,809,408
ABT,a097c03a-7ebe-4de6-b729-a82370cd2a6e,Health Care,2018-10-01,1071,502
AMT,a148da60-6af9-443b-a3a9-9d3e65eb91e9,Real Estate,2018-10-01,1071,502
J,a1fed325-c0f8-4bcb-8ea4-0cd595df061e,Industrials,,0,0
ADSK,a21ecb08-ff55-4c19-94d3-a8d607d91be8,Information Technology,2018-10-01,1071,502
TXT,a23cd286-242d-4ee3-b3b7-042a4fa187ce,Industrials,2018-10-01,359,0
IBKR,a2d428df-103b-4db0-b0b0-6d2c826b840c,Financials,,0,0
CMG,a3e21504-59e3-4f4b-8f9c-86a569bdf842,Consumer Discretionary,2018-10-01,1071,502
EXPD,a4965b33-8fae-4700-a0f7-07409250f8b5,Industrials,2018-10-01,847,440
VZ,a54066ec-ebb0-4d1e-b7cf-cd84298515ec,Communication,2018-10-01,1071,502
BBY,a5a7a7b7-5a80-44c6-8051-989b3bb4a1c2,Consumer Discretionary,2018-10-01,1071,502
TTD,a62e1ba1-af52-411b-ab22-537c2cd2e67d,Communication,2019-03-18,957,502
WRB,a64399d5-f09d-469d-8cdc-291ef91235f7,Financials,,0,0
LOW,a6ffe329-5ea3-4bb8-b58a-06ed1432dd50,Consumer Discretionary,2018-10-01,1071,502
BF.B,a7416318-2773-49b9-b843-7017e0711a5b,Consumer Staples,2018-10-01,56,0
EIX,a75f7d48-0d93-445f-9fb9-34d9160760b6,Utilities,2018-10-01,1071,133
VTR,a760766c-8c49-4886-85af-990e47f9d78a,Real Estate,2018-10-01,962,0
CL,a7dd2d26-59d5-4c85-8449-cd0cb975fd98,Consumer Staples,2018-10-01,1071,502
JCI,aa0bfa06-96bb-4fcc-bc56-0aa8a1c0be47,Industrials,2018-10-01,1071,502
GILD,aa222c8c-5f60-4b88-bc73-7aaadf424628,Health Care,2018-10-01,1071,502
DPZ,aa3236c8-f2d6-40f1-a20d-b4cc69bffae8,Consumer Discretionary,2018-10-01,1071,502
PAYX,aaaaa8a6-79b2-4090-95df-45276d1f4d74,Industrials,2018-10-01,1071,502
DLR,ab1c95a1-cb3b-4eb0-83bd-d4a0cd608b0b,Real Estate,2018-10-01,1071,502
DVN,ab42bac7-0551-47fd-8f5b-3313142cb075,Energy,2018-10-01,1071,502
TER,abb494ba-b24a-46bc-b050-2128e3303f60,Information Technology,2018-10-01,1071,502
SPG,abda5459-cb41-44a7-85bb-c94d32ea7d93,Real Estate,2018-10-01,1071,502
LHX,ac11bc30-2788-40f7-9c87-e24734d4dfd9,Industrials,2021-03-29,445,502
NEE,ac20a75d-5bb4-4d10-96e8-f5e58e730139,Utilities,2018-10-01,1071,502
JBL,ac8f1019-e8aa-4a5d-9434-97cc688bf606,Information Technology,2024-05-23,0,153
BMY,ad22d1ca-8bfc-45cc-ae7f-5f091bbc8c7c,Health Care,2018-10-01,1071,502
ROST,adcce409-1666-4ceb-89fa-ecbb458c18ea,Consumer Discretionary,2018-10-01,1071,502
BXP,ae42e050-a162-421b-afaf-e32f63d78219,Real Estate,2018-10-01,753,0
EXE,ae7b5317-8b41-41df-b7f8-22c4de74b832,Energy,,0,0
TRV,af898beb-7df0-4dea-8b02-d6c5f4f70137,Financials,2018-10-01,1071,502
MRNA,b02df0cc-0a0a-4ecb-8e92-201b1044ea21,Health Care,2020-12-09,519,502
PFE,b0940983-b0c6-42f1-97d5-b1b580e4431b,Health Care,2018-10-01,1071,502
AAPL,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,Information Technology,2018-10-01,1071,502
UPS,b14caeab-f212-40ee-975a-38b9317e46b1,Industrials,2018-10-01,1071,502
PM,b19c4863-d517-4472-9236-8864e50dfa3e,Consumer Staples,2018-10-01,1071,502
WST,b20d6720-9f3a-4999-b04b-2df846ebd64a,Health Care,2021-02-17,473,502
VRSK,b297eda9-133d-4f92-80ff-9e55f7c8ee8b,Industrials,2018-10-01,1071,502
SWKS,b2b91a9b-3ecd-45ed-bf53-1f7d0613e1e8,Information Technology,2018-10-01,1071,502
IR,b33b4a2e-b930-48da-946c-568ef91f3dab,Industrials,2018-10-01,841,502
GLW,b3ce91f9-c7b2-4ab2-9a16-57fb17e06294,Information Technology,2018-10-01,1071,282
STZ,b459fd90-e740-4de1-b2e2-ecf548a51faf,Consumer Staples,2018-10-01,1071,502
RCL,b4ef8484-77d0-42d9-97a5-d67948cbb979,Consumer Discretionary,2018-10-01,1071,502
BR,b5452b1a-9dad-44bc-982d-b632243366be,Industrials,2018-12-04,235,0
ON,b56defb4-e3f6-4756-ba80-143862d2dda1,Information Technology,2018-10-01,1071,502
FIX,b56fafb4-300c-4444-a83a-876ca63e1b3c,Industrials,,0,0
TPR,b599b102-254e-4a5c-838d-8cf26857e562,Consumer Discretionary,2019-08-01,666,384
WMB,b60af993-7490-471e-9926-1cbedb46fcef,Energy,2018-10-01,1071,502
ECL,b636b9b8-669c-4788-a0eb-ff5f6ea7f09e,Materials,2018-10-01,1071,502
BALL,b6383ccc-bc48-40a3-8e30-58583c49322b,Materials,,0,0
HD,b6b1ea06-5d71-4146-be77-03f671788940,Consumer Discretionary,2018-10-01,1071,502
MSFT,b6d1aa75-5c9c-4353-a305-9e2caa1925ab,Information Technology,2018-10-01,1071,502
TGT,b70be706-b47c-4dbd-a6a7-4e98ea48c42a,Consumer Staples,2018-10-01,1071,502
STX,b74ff3ea-545f-49e2-91ad-cd4e205642a4,Information Technology,2018-10-01,1071,502
MMM,b7f45fa8-7969-4ad9-ad77-775880b14278,Industrials,2018-10-01,1071,502
CBOE,b82b16ae-90ca-400b-b053-db67a515e711,Financials,2018-10-01,449,0
IQV,b8a3bd96-7724-467b-b044-92a6f6d84fce,Health Care,2019-08-16,851,502
AKAM,b8af2065-5072-453b-9d95-5c3934c2fba7,Information Technology,2018-10-01,1071,448
CSX,b8dd0cc3-7658-4c38-9c06-215c3377956e,Industrials,2018-10-01,1071,502
WELL,b94a7925-39e6-4a74-9db6-44888cb57d40,Real Estate,2019-11-25,781,502
LYV,b9f7677c-965f-4074-b87b-cea5c848b6ce,Communication,2018-10-01,702,502
PANW,ba1cc326-cf8d-4d7c-a49e-8b413555f3d0,Information Technology,2018-10-01,1071,502
LH,ba597ea4-0f8c-4738-8f41-bfc97d76bc71,Health Care,2018-10-01,1071,418
CMI,badebe9a-89a1-4579-9e94-28e11d901b16,Industrials,2018-10-01,1071,502
NFLX,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,Communication,2018-10-01,1071,502
CME,bc05b0d9-3b5d-4530-b500-3af2accbd71e,Financials,2018-10-01,1071,502
MAR,bd10e4a3-a39d-4726-91cd-8b4d68a635ab,Consumer Discretionary,2018-10-01,1071,502
BG,bd953d3b-1aca-4ee5-9ae8-974d793c5638,Consumer Staples,2018-10-01,243,236
CHRW,bdb9e72b-fe14-42fa-a784-aa451745bf12,Industrials,2018-10-01,732,139
VEEV,bdc58c3a-9c7e-4ef9-b2ec-d61f14c84bd0,Health Care,2018-10-01,1071,502
UBER,bea0f181-afd8-4bd2-9486-85d3fc2f10d7,Industrials,2021-02-05,480,502
VRSN,bf0fbed9-3c4a-4235-8ab0-05f880d93115,Information Technology,2018-10-01,1071,156
TAP,bf5d1b34-b1df-42e4-8878-db44df226bd3,Consumer Staples,2018-10-01,543,0
VICI,bfcbfab2-0716-4847-b7f3-a7bed178e479,Real Estate,2020-04-03,692,502
DE,c00df298-9fb1-49e6-b9d9-92e3749ec5be,Industrials,2018-10-01,1071,502
ERIE,c05daeb9-c0ba-45bf-899b-3896f5d14622,Financials,,0,0
MTB,c116ed61-e58f-45af-8b63-499fac4d0cab,Financials,2018-10-01,1071,380
KEYS,c12d8862-2ca2-48ca-9fdc-368bace91bd3,Information Technology,2019-06-05,902,502
PFG,c14764ba-7985-420b-af3b-8d3b7c848f8a,Financials,2018-10-01,347,126
O,c1de0f49-b6d3-4636-ab9b-5aed83596918,Real Estate,2018-10-01,1071,502
KLAC,c1fe01e7-c9b1-4b92-8c7a-32153021367e,Information Technology,2018-10-01,1071,502
JBHT,c201b764-a9a6-4a73-bed2-d25202fd0b62,Industrials,2018-10-01,434,502
PNR,c212e219-b17d-4ff1-99dd-30e3896122a3,Industrials,2018-10-01,52,0
WAB,c3baa05b-10d0-4ecb-987f-8b34289553f3,Industrials,2018-10-01,522,39
ACGL,c42feb70-c4a1-48a3-869b-d94eb3998f6e,Financials,2023-08-18,0,345
ETR,c4bcff4e-c3b0-481a-a9eb-98600db2ef0a,Utilities,2018-10-01,1071,502
HBAN,c4e4715c-44f9-4e5a-9663-be3b72e767b8,Financials,2018-10-01,1071,502
BKNG,c50070cd-18b4-4f29-ae0f-f192e4cc4553,Consumer Discretionary,2019-11-22,782,502
HAS,c64ec7e1-696c-422f-bca6-240524dc0346,Consumer Discretionary,2018-10-01,450,0
IFF,c6c4b6a0-fd62-44b4-8e16-4dd9b31b71ba,Materials,2018-10-18,1058,428
HOOD,c6e72c57-a1a9-4e4b-a7d0-029160f8bd64,Financials,2024-10-02,0,63
KIM,c70c1de6-d9cd-4c77-9f72-fd8e6d889c0f,Real Estate,2018-10-01,112,0
TRMB,c71569f2-3812-4dff-8fca-779357edda8f,Information Technology,,0,0
ORLY,c73e2c28-af3f-4f5d-b550-a56b567ed47c,Consumer Discretionary,2018-10-01,1071,502
DRI,c7b69e61-c23f-4135-a113-8f4efe3e7d6e,Consumer Discretionary,2018-10-01,1071,502
WBD,c8899fc1-c3b2-411c-a940-4b9380a09b84,Communication,2024-01-10,0,246
CRL,c8d225a2-183b-499f-886e-7aebf438331f,Health Care,2022-02-16,220,123
EQT,c8d31660-bb30-43c2-8951-b1f740c74ef8,Energy,2018-10-01,445,502
EOG,c997b367-2a67-472c-910f-d0324c599cea,Energy,2018-10-01,1071,502
BX,c9cc0895-bbca-47fb-be9e-e70e4a7eb94d,Financials,2018-10-01,1071,502
CARR,ca43f7b9-bc0c-4cd5-a930-a4c823be5bb7,Industrials,2021-12-30,253,502
COR,ca56f277-6345-49e3-889a-6a748a4f1c79,Health Care,2024-07-12,0,120
OKE,cae53d2f-e61b-4cab-ad83-fa7e593cfdc3,Energy,2018-10-01,1071,502
LIN,cbf869d9-873b-426a-bdea-37e0bc4250f9,Materials,2020-07-31,610,502
INTU,cd1347d7-8add-49bd-acd1-4ffde9a4081b,Information Technology,2018-10-01,1071,502
NDAQ,cd5c9e8e-df7c-435b-b301-c75eae954069,Financials,2018-10-01,776,502
IT,ce016848-57bf-4a5d-be20-af1ac2a199f9,Information Technology,2018-10-01,393,502
AMAT,ce4833e1-c561-492a-aace-7eb451d09e02,Information Technology,2018-10-01,1071,502
LNT,ceec46e0-7a0d-41cf-9e65-0faf0a9e92a4,Utilities,,0,0
CRM,cf80d13f-470c-4947-8593-c5e098aeba4e,Information Technology,2018-10-01,1071,502
CF,cf8836c1-434e-4ab0-aec3-eff774d90c4e,Materials,2018-10-01,660,468
CMS,cfae5876-5fd7-43ec-8daf-d583ef094a8b,Utilities,2018-10-01,810,301
CRH,d024d41e-2c7f-46f5-90e1-eee0e5de5a0f,Materials,2024-06-12,0,140
DLTR,d0d63992-2d20-4f63-aa62-30cf76fb3204,Consumer Staples,2018-10-01,1071,502
GNRC,d249df15-5475-4218-af2d-9d7b8fc31b73,Industrials,2021-03-31,443,272
SHW,d2cb3472-a97f-4434-9736-c4ca7f82a67f,Materials,2018-10-01,1071,502
TEL,d32092d6-217b-422a-ba18-518f96a57d2a,Information Technology,2018-10-01,1071,502
NTAP,d37df28f-5646-48c8-99cc-4d0c9a5ec9ff,Information Technology,2018-10-01,1071,502
IP,d40b732c-72ca-44e0-a156-28ce00086458,Materials,2018-10-01,1071,205
AVY,d45b711e-b63e-4e33-baef-65c63b8c8185,Materials,2018-10-01,184,0
ETN,d4806319-2c9c-48d6-bda3-aedb0178e83b,Industrials,2018-10-01,1071,502
DOW,d59870fe-9add-43f2-960c-b2ec4f29d8d3,Materials,2020-02-10,730,502
BKR,d5f668a3-682f-474a-84e2-d340593dd94c,Energy,2021-07-19,368,502
NTRS,d796f63d-e6e4-4d9a-a81f-6efe59152bfe,Financials,2018-10-01,517,0
VST,d88f5f2c-e621-4d4a-9817-8677af2fd066,Utilities,2019-02-07,324,145
CCL,d8917341-9b29-4fe9-a373-c8ddd6d5ae86,Consumer Discretionary,2018-10-01,1071,502
HSY,d8b2fc19-67b0-4dc4-b84e-648aeced6b96,Consumer Staples,2018-10-01,1071,502
DHI,d8cb1b90-e8bd-4c75-beb3-0b2909eb9a75,Consumer Discretionary,2018-10-01,1071,502
CPAY,d9d20f68-0a16-493e-9c0c-324ec90edb6c,Financials,,0,0
ICE,dab97681-1775-47b8-922a-d23a4e50744d,Financials,2018-10-01,1071,502
AZO,dae5e891-472a-42a9-8638-cc67023813f4,Consumer Discretionary,2018-10-01,1071,502
NKE,db00f7c3-19bb-42b6-9beb-79e92487f99e,Consumer Discretionary,2018-10-01,1071,502
RVTY,dbb3a9dd-553a-46f2-a0cf-c53116e4c85a,Health Care,,0,0
HUBB,dbed894a-1189-413b-9825-112179cd244e,Industrials,2024-03-06,0,208
MSI,dc8a1979-4f40-4e60-bc92-686687c28c43,Information Technology,2018-10-01,1071,502
CCI,dd72d233-d85d-499d-9dc4-4b407bcdb734,Real Estate,2018-10-01,1071,502
GM,de5fc535-1cdd-4a57-92ba-ac58a43aed81,Consumer Discretionary,2018-10-01,1071,502
MPWR,de7edaf4-bc7f-44fc-87d9-27b52406ccc6,Information Technology,2021-04-14,434,502
SWK,de80af50-a26c-4a70-b1cb-3b4784d7cdde,Industrials,2018-10-01,1071,295
KHC,df014db2-72a2-4686-be56-e3cdc15efb71,Consumer Staples,2018-10-01,1071,502
ISRG,e02df0be-fd3a-4762-b4c1-c274784bf756,Health Care,2018-10-01,1071,502
MCD,e077638f-a5c9-47e4-a7ce-2bfabf5ff698,Consumer Discretionary,2018-10-01,1071,502
VLTO,e1b5b393-7c48-43f3-ac78-89755fbb4552,Industrials,,0,0
COO,e2330668-4813-4c45-84d2-e3a94c3387f5,Health Care,2018-10-01,896,0
UNP,e28f2c45-0bb1-45c1-84e0-f8d1a98c4088,Industrials,2018-10-01,1071,502
GIS,e2fe0a11-d58e-4b4e-a847-e560fee24a94,Consumer Staples,2018-10-01,1071,502
JPM,e3047683-637a-4fb2-b71d-805cd6fec95d,Financials,2018-10-01,1071,502
COHR,e3e977e6-a55b-4b5f-bc0a-e2b02183d254,Information Technology,2018-10-01,44,0
KMI,e47acf22-5340-477a-a3ac-020b1ed34d12,Energy,2018-10-01,1071,502
SMCI,e4870680-5a31-43e0-a477-c47d158ac43d,Information Technology,2023-11-13,0,285
KR,e54335e7-7483-46e5-8410-2dfff00e98bb,Consumer Staples,2018-10-01,1071,502
CLX,e546b55a-77d5-4e6c-b588-0aeaa20bd2b3,Consumer Staples,2018-10-01,1071,502
ADI,e72fbd29-be6b-43c2-80c6-b6e80d5b23db,Information Technology,2018-10-01,1071,502
CAT,e7535ed9-c182-41ef-80f6-ee08f4166b6c,Industrials,2018-10-01,1071,502
PODD,e82d6760-0cbc-4838-87e3-4df6dce97721,Health Care,2020-06-16,306,329
LUV,e930cf4f-6b04-4a7e-85e6-ad1b01cd3c17,Industrials,2018-10-01,1071,502
FIS,e961359b-17b7-4d9e-a246-a6fa732a07e6,Financials,2018-10-01,1071,502
TROW,ed8a132b-6a31-4c24-859b-2415c6deea5a,Financials,2018-10-01,1071,388
MCHP,edc751a9-e628-40bd-9498-23ad7918269e,Information Technology,2018-10-01,1071,502
CDNS,ee289c17-ee75-4d48-a9ee-505156d93171,Information Technology,2018-10-01,1071,502
RMD,ee55892a-1ff0-4ede-87e4-ad5aa5998044,Health Care,2018-10-01,1071,502
LYB,ef918bdf-cce8-4282-b7f4-ac24b881f7e3,Materials,2018-10-01,1071,502
JNJ,ef9adcc6-6bce-452b-af5f-4a87e7f19131,Health Care,2018-10-01,1071,502
AOS,f07f3cff-5ef1-4892-bd34-a4155d984226,Industrials,2018-10-01,261,0
TRGP,f0f1e55c-fad1-4dcb-84d9-2d9f9e45d1f5,Energy,2018-10-01,342,481
RSG,f250c025-bde8-4113-9e27-04cd1c889037,Industrials,2018-10-01,1071,502
Q,f29e53f4-5072-4e11-82e8-8e50318031ab,Information Technology,,0,0
GOOG,f30d734c-2806-4d0d-b145-f9fade61432b,Communication,2018-10-01,1071,502
TKO,f3bbbd29-523f-4675-9c7e-fd3a0a945029,Communication,,0,0
ATO,f521def1-4e5b-4401-b97d-98b17388d151,Utilities,2019-10-08,387,0
IEX,f56cfba3-833e-4ed2-95cc-a8f8756664fa,Industrials,,0,0
BLDR,f6738e19-c8c9-43be-9709-02dfe0252603,Industrials,2022-02-28,213,502
KEY,f7623733-d5b7-4d6b-b04a-fedeed0f2e64,Financials,2018-10-01,1071,502
EQIX,f801bacd-b8a5-4478-8321-699c3c9984cb,Real Estate,2018-10-01,1071,502
AMZN,f801f835-bfe6-4a9d-a6b1-ccbb84bfd75f,Consumer Discretionary,2018-10-01,1071,502
PG,f81a406b-a53c-4ea5-ab05-6fb92bfc6bd7,Consumer Staples,2018-10-01,1071,502
FANG,f93d78b0-c2ec-4d9c-bcae-ca77ebce4844,Energy,2018-10-01,1071,502
WFC,f9700a20-b0fe-4516-87c5-9d7b096d5539,Financials,2018-10-01,1071,502
HCA,f99ee8af-9d78-4b46-9f2c-3cf6ce839ccf,Health Care,2018-10-01,1071,502
FSLR,fa06daac-c3f1-409c-bddb-d44c8293e8b3,Information Technology,2018-10-01,202,418
SNPS,fa8500c0-9022-4a74-97f9-93d41ed28dac,Information Technology,2018-10-01,1071,502
FLEX,fa85d280-d0fe-45db-972a-278dceb2f7ac,Information Technology,,0,0
PNW,faae2345-5020-4dd1-aa4f-e1ac3f6419ba,Utilities,2018-10-01,516,0
NWS,fb93dfd6-4573-4fc6-bab7-a92a9595169d,Communication,,0,0
RL,fbb8f455-52fc-4b2e-850e-ee30fe76f494,Consumer Discretionary,2018-10-01,834,1
CTVA,fc0da839-9b1d-4c5e-ac1a-148c774d1c1f,Materials,2021-03-01,465,502
ZBH,fc12f337-b4be-4805-9206-2f67ec0a0057,Health Care,2018-10-01,1071,502
META,fc6a5dcd-4a70-4b8d-b64f-d83a6dae9ba4,Communication,2023-04-20,0,428
VMC,fc9c62fa-c635-41c8-8b58-9695c01d146d,Materials,2018-10-01,1071,502
GEV,fe794b59-e78a-4544-b35b-41d3cfb38f12,Industrials,,0,0
BAX,feee4056-913c-46be-8e7e-71ee600bfe18,Health Care,2018-10-01,1071,465
