symbol,security_id,sector,first_eligible,train_eligible_sessions,development_eligible_sessions
TYL,7552c82a-3b95-4f4d-afb5-98c024a5c9ca,Information Technology,2020-12-29,169,0
FCX,75951f3e-87ac-4f58-98f3-d4fdb649d332,Materials,2018-10-01,1071,502
A,7595a8d2-68a6-46d7-910c-6b1958491f5c,Health Care,2018-10-01,1071,502
WYNN,762eca63-f335-4d9c-bfc5-83607ad4d8e9,Consumer Discretionary,2018-10-01,1071,502
AMP,764073e3-4e48-4a2c-aee2-45b0a0dfb9cc,Financials,2018-10-01,1071,502
PSX,7655b60d-17f3-4c09-88ec-88feb585487a,Energy,2018-10-01,1071,502
CEG,7658b394-4296-4b6c-b3e5-02243499faf6,Utilities,2023-11-01,0,293
VLO,767ee8af-6479-44f5-8106-799120134246,Energy,2018-10-01,1071,502
GEHC,76875bee-ba49-437b-9d94-e4bf1277249f,Health Care,2024-10-03,0,62
TT,7744341f-5918-44c9-bc50-6a6fc423c9ff,Industrials,2021-11-24,277,502
FDXF,7785f942-14e8-49e4-b554-262c05fe9649,Industrials,,0,0
SLB,799b9c5a-54c1-4241-ba42-0dcba7d161bb,Energy,2018-10-01,1071,502
AVGO,7a8b4fcf-0622-47ef-8541-de7f70ffc0c4,Information Technology,2018-10-01,1071,502
MCO,7ad52094-7cc2-4ed8-b324-69731dfaa79a,Financials,2018-10-01,1071,502
PEP,7b7466c4-5066-4e3e-80e6-8da1c835ce56,Consumer Staples,2018-10-01,1071,502
VTRS,7cafa08c-242c-49a3-882d-6a410c49969e,Health Care,2022-08-17,50,0
TDY,7e17b48e-68ff-483b-8968-2df4892b4ed4,Information Technology,2021-10-26,54,0
PGR,7e23958d-28fe-4f5e-acb0-159831a769ed,Financials,2018-10-01,1071,502
D,7ef3c3bc-854c-421a-a778-dc87a402f1d9,Utilities,2018-10-01,1071,502
PEG,7f712a83-dc6a-4d5d-bf2a-c52705a06905,Utilities,2018-10-01,1071,502
