session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2015-09-16,-0.00161757483988006,5.921548573239969e-07,6.044917634821536e-06,-0.0016242119123722055,0.4412789873419721,-3.469446951953614e-17,0.0029564814151595616
2015-09-17,-0.0005956612188524277,0.0,6.1004867306996715e-06,-0.0006017617055831273,0.4437153249426632,-0.0016202063984129024,0.0
2015-09-18,-0.0007287746227368156,0.0,6.1371442141617195e-06,-0.0007349117669509773,0.4457943257893766,-0.002217201844428876,0.0
2015-09-21,0.0002608063305958366,0.0,1.846136953865404e-05,0.00024234496105718256,0.4462785156817002,-0.0029481430922148333,0.0
2015-09-22,0.0008026573608213792,0.0,6.132433405240161e-06,0.0007965249274161391,0.4449809529256437,-0.0026866856568881076,0.0
2015-09-23,-7.259304791097936e-05,5.991704141571613e-07,6.072317626162452e-06,-7.926453595129897e-05,0.44327918670985894,-3.8163916471489756e-17,0.002987984182151946
2015-09-24,-0.0008480450955711583,0.0,6.068171181838948e-06,-0.0008541132667529972,0.44290389747182174,-7.259880242140374e-05,0.0
2015-09-25,0.0003703768387353041,0.0,6.108221766258386e-06,0.0003642686169690457,0.44497875803250975,-0.000921430904352382,0.0
2015-09-28,0.0015729012132955588,0.0,1.8248878757085547e-05,0.0015546523345384732,0.4435051963487401,-0.0005508534070083233,0.0
2015-09-29,-0.00042041637759414953,0.0,6.027191028521023e-06,-0.0004264435686226706,0.44100540642571173,0.0010204613436770142,0.0
2015-09-30,-0.00023859148659147078,2.5732292497082297e-05,6.203650936799904e-06,-0.00027052743002535295,0.4528665183863879,-5.1209037010835345e-15,0.1268300443855418
2015-10-01,-0.0006470144910558227,0.0,6.217245138521813e-06,-0.0006532317361943445,0.45362023906248805,-0.00023865604960438686,0.0
2015-10-02,-0.0013637293255431373,0.0,6.233104304078869e-06,-0.0013699624298472162,0.4541303647308192,-0.0008862494669381812,0.0
2015-10-05,-0.0005365616142108308,0.0,1.8932454620567785e-05,-0.0005554940688313986,0.4584366636930412,-0.002253065407441513,0.0
2015-10-06,-0.0003454224374599055,0.0,6.322774154493471e-06,-0.00035174521161439895,0.4587713357738224,-0.0027911775042009715,0.0
2015-10-07,-0.0007412096001884169,1.0024628354671756e-06,6.290902264648288e-06,-0.0007485029652885323,0.459235865319325,6.938893903907228e-18,0.005001854401985905
2015-10-08,7.947358715645742e-05,0.0,6.312293592406864e-06,7.316129356405056e-05,0.46005566743235027,-0.0007417648133507711,0.0
2015-10-09,-0.00022281020635609252,0.0,6.3097597742045865e-06,-0.00022911996613029712,0.4599502207412786,-0.0006622427756561994,0.0
2015-10-12,-5.865201731751322e-05,0.0,1.897840188624207e-05,-7.763041920375529e-05,0.46092252342009643,-0.0008852558117939079,0.0
2015-10-13,-0.00011755467090568861,0.0,6.3321554665246625e-06,-0.00012388682637221328,0.4613033679455395,-0.0009439811107607929,0.0
2015-10-14,-0.0005174826376209934,4.6908687132122153e-07,6.298501260955119e-06,-0.0005242502257532698,0.4597905920497237,1.734723475976807e-17,0.002340925863516433
2015-10-15,-0.0005006302095002224,0.0,6.337297746885571e-06,-0.0005069675072471079,0.46210498145233736,-0.0005177540703092225,0.0
2015-10-16,0.0005431498346068388,0.0,6.347731437957191e-06,0.0005368021031688816,0.462365494141452,-0.0010189008294230924,0.0
2015-10-19,0.0005345740502440102,0.0,1.898221125938856e-05,0.0005155918389846217,0.4614249782307561,-0.0004754957476988224,0.0
2015-10-20,-0.0007242952273824821,0.0,6.306778831761574e-06,-0.0007306020062142436,0.46045390257654645,5.904785795150455e-05,0.0
2015-10-21,0.000659204018516928,1.9663022114744773e-07,6.3057365629620955e-06,0.0006527016517328185,0.460318769096233,-1.734723475976807e-17,0.0009813528382303853
2015-10-22,-0.0006185921930054569,0.0,6.2789808570508735e-06,-0.0006248711738625078,0.45902437660032946,0.0006587740356157126,0.0
2015-10-23,-0.0003508953533010508,0.0,6.315981889625977e-06,-0.0003572113351906768,0.46110688490948104,4.020696678480942e-05,0.0
2015-10-26,-1.3401600777551963e-05,0.0,1.8949011369726847e-05,-3.235061214727881e-05,0.46078181058909895,-0.0003107994075876343,0.0
2015-10-27,6.509746543182819e-05,0.0,6.307427464786363e-06,5.879003796704182e-05,0.46011799343259885,-0.0003242114968055737,0.0
2015-10-28,0.0008869641594280166,9.06467851957829e-07,6.31030017305455e-06,0.0008797473914030043,0.4606519126329821,-1.3877787807814457e-17,0.004513528962322952
