session,eligible_assets,gross,net,turnover,expected_return,variance,objective,max_factor_exposure,exposure_equity,exposure_duration,exposure_credit,exposure_commodity,exposure_usd
2012-04-20,19,0.6571261753008514,-8.614636781700824e-15,0.10882770095665617,0.0003919852786300867,9.566153652843912e-06,0.00025924548296591397,7.563394355258879e-15,-1.756079369300527e-16,-7.563394355258879e-15,3.469446951953614e-17,-1.5116626460849143e-17,1.734723475976807e-17
2012-04-27,19,0.6632021769788174,-2.740863092043355e-16,0.03409832926452572,0.0003497596032904406,9.85125664581177e-06,0.00023005449119133597,7.008282842946301e-16,-2.8904518389334e-16,-7.008282842946301e-16,-5.551115123125783e-17,-5.408537038982236e-17,1.0408340855860843e-17
2012-05-04,19,0.6596057215385579,1.1449174941446927e-16,0.010312446943085609,0.00031843795970591004,8.837958012740759e-06,0.00020892902356597627,3.122502256758253e-16,9.331748015729987e-18,3.122502256758253e-16,0.0,-2.6287545770921616e-17,-3.469446951953614e-18
2012-05-11,19,0.6558967093126127,3.8163916471489756e-17,0.005864061012628309,0.00031165774520902184,8.179308369148322e-06,0.00020669114114774129,1.457167719820518e-16,-2.1896990056644267e-17,1.457167719820518e-16,0.0,-2.6211587411580346e-17,6.938893903907228e-18
2012-05-18,19,0.7537164614937952,-2.205874372052108e-14,0.15092331097828368,0.0003627176574876628,1.097622773792133e-05,0.00020513606026708407,2.9552749136740886e-14,-5.348803011676226e-16,-2.9552749136740886e-14,-4.996003610813204e-16,5.922287353727182e-17,6.938893903907228e-17
2012-05-25,19,0.748660452572728,2.7755575615628914e-17,0.0057076118605478825,0.00037596255230705066,1.0635970042098617e-05,0.00024984884542036446,2.1163626406917047e-16,-2.764551566176176e-17,2.1163626406917047e-16,-1.734723475976807e-17,-7.255202110514273e-18,-1.3877787807814457e-17
2012-06-04,19,0.7495382716288088,0.0,0.010690843553178526,0.00037858790613120425,1.0648744616620962e-05,0.00025132436242363216,1.8298052600477832e-17,6.340034822228713e-18,-1.0408340855860843e-17,3.469446951953614e-18,-1.8298052600477832e-17,0.0
2012-06-11,19,0.7490981011146568,-1.3877787807814457e-17,0.007664459802590287,0.0003369969779835016,1.0888226215554577e-05,0.0002091880328988023,1.6306400674181987e-16,2.179293591758968e-18,1.6306400674181987e-16,-3.469446951953614e-18,-4.0556610958420905e-17,0.0
2012-06-18,19,0.7588958437615004,-1.3877787807814457e-17,0.0028159893563848037,0.0002751750281749522,1.0640078287636256e-05,0.00014863970287826492,7.979727989493313e-17,-3.182547002383763e-17,7.979727989493313e-17,-1.3877787807814457e-17,-1.8340534833793992e-17,-6.938893903907228e-18
2012-06-25,19,0.7568073829828277,-6.938893903907228e-18,0.0053715208077766185,0.0002830830245719949,1.0909149186510403e-05,0.0001548855547101122,4.961309141293668e-16,1.570073767166664e-17,-4.961309141293668e-16,-3.469446951953614e-18,-4.89906948213654e-17,0.0
2012-07-02,19,0.777323906768722,-4.85722573273506e-17,0.007696904724909835,0.00022989680726045314,1.245891661181509e-05,9.152091228782982e-05,1.1102230246251565e-16,-3.5653334035075326e-17,-1.1102230246251565e-16,-1.0408340855860843e-17,-4.368628914474023e-17,6.938893903907228e-18
2012-07-10,19,0.7831913312928493,4.85722573273506e-17,0.004507691386011538,0.0002466461833290102,1.2568371334708629e-05,0.00010779972292027734,1.5265566588595902e-16,1.013706230628659e-17,-1.5265566588595902e-16,-6.938893903907228e-18,-7.769882292514428e-18,-1.3877787807814457e-17
2012-07-17,19,0.7894637275062019,2.0816681711721685e-17,0.004915349453511508,0.0002607836456705847,1.268620417153469e-05,0.00012066133549674496,2.8449465006019636e-16,-3.011143132216962e-17,-2.8449465006019636e-16,3.469446951953614e-18,-1.8909349450073722e-17,1.3877787807814457e-17
2012-07-24,19,0.784658064072885,-1.5265566588595902e-16,0.012009289175076503,0.0001744898371750596,1.2660634199563913e-05,3.353635959771937e-05,1.1102230246251565e-16,4.236280029942085e-18,1.1102230246251565e-16,-1.3877787807814457e-17,-4.3815817574009824e-17,-1.3877787807814457e-17
2012-07-31,19,0.6821038059853165,8.049116928532385e-16,0.24776179203164875,0.00013124733422483647,7.5383160192426e-06,-2.2141882651364992e-05,5.30825383648903e-16,1.0604165154501732e-16,5.30825383648903e-16,3.122502256758253e-17,-1.7462420035020457e-17,1.0408340855860843e-17
2012-08-07,19,0.582710296192588,2.0816681711721685e-17,0.24530182853618182,0.00017241998421339683,3.8055327125657218e-06,4.77303849764237e-05,6.175615574477433e-16,1.5744102671865483e-16,6.175615574477433e-16,1.3877787807814457e-17,2.1616840683512127e-17,1.734723475976807e-17
2012-08-14,19,0.6518127005198465,-6.206840597045016e-15,0.24607237793314296,0.00022512433972413567,3.894153246314173e-06,9.325723362622015e-05,1.371819324802459e-14,4.6538348984655793e-17,-1.371819324802459e-14,-1.734723475976807e-16,-2.0993663358441162e-16,-2.0122792321330962e-16
2012-08-21,19,0.6476007876421864,-2.7755575615628914e-17,0.007647791392932802,0.0001801486424522741,3.8568045607985485e-06,9.723406484549628e-05,2.7755575615628914e-17,2.8185757444167188e-18,-2.7755575615628914e-17,-1.0408340855860843e-17,-2.3099079661710548e-17,0.0
2012-08-28,19,0.6541471567211491,-7.632783294297951e-17,0.004452220670021906,0.00023164105024986044,3.920740451081792e-06,0.00014841912727609776,9.71445146547012e-17,-3.9863881697812805e-17,9.71445146547012e-17,0.0,-4.756093180719052e-17,1.0408340855860843e-17
2012-09-05,19,0.6569132923985096,1.3877787807814457e-17,0.0019229028106171695,0.0002358762965993044,3.89732939614508e-06,0.0001530129054281632,2.463307335887066e-16,9.745369887699484e-18,2.463307335887066e-16,-1.0408340855860843e-17,-9.742643475358725e-18,-1.0408340855860843e-17
2012-09-12,19,0.6393641239548233,-6.591949208711867e-17,0.022359752714414465,0.00020146118952964578,3.5719520059340225e-06,0.0001178098109154367,2.5326962749261384e-16,3.228494752922677e-17,-2.5326962749261384e-16,-3.469446951953614e-18,-3.052952704987645e-17,3.469446951953614e-18
2012-09-19,19,0.5395533840155983,6.83481049534862e-16,0.13670855772324186,0.00019847616651511105,2.925187371748346e-06,0.00010461478903203974,9.645062526431047e-16,1.5864830555663634e-17,9.645062526431047e-16,-1.3877787807814457e-17,-5.075292932807754e-18,6.938893903907228e-18
2012-09-26,19,0.5395887431743791,-2.7755575615628914e-17,0.00852474701282296,0.00023416907564466807,2.899140915172942e-06,0.00016622398552208173,1.3877787807814457e-17,-1.2249868794254788e-17,-1.3877787807814457e-17,6.938893903907228e-18,-1.3401589297795294e-17,-3.469446951953614e-18
2012-10-03,19,0.5202754506819139,8.708311849403572e-16,0.031570048854574956,0.00021759238999891455,2.658027749804283e-06,0.00014808129883104248,1.1102230246251565e-16,1.9984920984687387e-17,1.1102230246251565e-16,-6.938893903907228e-18,-8.369644749585534e-18,-3.469446951953614e-18
2012-10-10,19,0.4408581757130624,-1.4051260155412137e-15,0.24891139263480785,0.00025616032459497564,2.4992776647073193e-06,0.0001511905632908004,3.1363800445660672e-15,1.0233276036012223e-16,-3.1363800445660672e-15,-4.163336342344337e-17,-1.7131890917806952e-17,1.214306433183765e-16
