symbol,security_id,sector,latest_raw_close,median_dollar_volume_60,coverage_60,valid_observations,shortable_at_capture,eligible,reasons,membership_available_at,scope,approved_weight
HOOD,c6e72c57-a1a9-4e4b-a7d0-029160f8bd64,Financials,119.82,2099756619.545,1.0,1291,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
BRK.B,71bb19d0-6c5f-4881-9552-33224badd810,Financials,509.77,2074846683.28,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CSCO,9ec078b1-5167-4d3d-908c-a1e49be367f1,Information Technology,109.51,2068392430.44,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
QCOM,39be1334-06b6-4df2-a2f1-b21b942628d0,Information Technology,177.72,2059589174.725,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
KLAC,c1fe01e7-c9b1-4b92-8c7a-32153021367e,Information Technology,176.99,2013562598.26,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
COST,1f888138-e413-4939-b16b-bdd08bb4debd,Consumer Staples,895.31,1937195933.795,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
UNH,943bb7c3-0fb0-4088-9a37-62549b5dc528,Health Care,376.9,1908209402.8200002,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
GS,064dd45f-7a58-452c-93f2-377f9a0cc7f2,Financials,942.0,1862660619.0,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
TXN,440efabf-b53c-4d70-b6e5-abb4f53e7104,Information Technology,266.64,1805532428.4450002,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
BAC,061588a3-d70b-4b9c-a3f6-636aaa16acc4,Financials,57.73,1800660595.85,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
JNJ,ef9adcc6-6bce-452b-af5f-4a87e7f19131,Health Care,269.99,1788391330.43,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CRWD,26226278-b62c-47ec-a1bd-cf0dbd14b420,Information Technology,237.65,1724097497.32,1.0,1828,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MA,2140998d-7f62-46f2-a9b2-e44350bd4807,Financials,565.24,1646239897.1,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
IBM,21d40833-6d13-4031-9af3-02f6a516d791,Information Technology,229.55,1618968256.545,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
COHR,e3e977e6-a55b-4b5f-bc0a-e2b02183d254,Information Technology,317.36,1605215919.1999998,1.0,2394,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
