symbol,security_id,sector,maximum_internal_missing_or_zero_run,excluded
KKR,17f819cf-891b-478e-9ea3-cb23166c1479,Financials,0,False
CVX,186997ab-b63c-439b-bf62-72275d1c4c27,Energy,0,False
CBRE,19020a7c-7741-401b-8422-37ad25d044b7,Real Estate,0,False
CFG,199cb7ce-8ed9-4d04-8270-a1ad319d5a6b,Financials,0,False
RF,19abae8d-4f7b-402f-8d36-6418b3c79544,Financials,0,False
AMCR,1ad07ad8-1956-4a2c-ba59-e1e7c84c3cce,Materials,0,False
HSIC,1bb0e1f2-1967-4b8d-8f98-30af6505cc6a,Health Care,0,False
MS,1c2f8701-b8cb-40b6-902a-1e9a6a0c7bcf,Financials,0,False
CTSH,1c7f101c-4c08-46e9-9f79-60ca13c07e51,Information Technology,0,False
SYK,1c8746ac-5a25-4456-95e1-970ae6ade43c,Health Care,0,False
NWSA,1c91c0bd-8d13-40ef-9dd4-73593564f4af,Communication,0,False
AIG,1ca76fea-6487-4cde-a341-07517b3286a0,Financials,0,False
UDR,1ddc7d72-9114-4d94-a1ea-ee530c12b163,Real Estate,0,False
F,1e80b378-a5e3-4727-96bf-9c64fdd4e7e2,Consumer Discretionary,0,False
SW,1ec7fc10-f3bb-4084-bc31-6ffb733139c6,Materials,0,False
MU,1ef18995-5094-4f62-a5c5-e00168611152,Information Technology,0,False
COIN,1f3f7283-250d-4477-8b1e-037df55e5046,Financials,0,False
OMC,1f80b3e7-c5a9-41c1-90e8-454620f6c568,Communication,0,False
SCHW,1f868250-6f1d-4a57-9cd0-ac3f581a96e5,Financials,0,False
COST,1f888138-e413-4939-b16b-bdd08bb4debd,Consumer Staples,0,False
EFX,1fa4e2fb-538e-4ed6-b548-f2c591f1fb5d,Industrials,0,False
MDT,1fc2849e-26d5-4f49-add6-2f913ded54c9,Health Care,0,False
AMGN,201b268b-cde8-4010-9fe3-41d2ac7f1e9c,Health Care,0,False
MA,2140998d-7f62-46f2-a9b2-e44350bd4807,Financials,0,False
FISV,215f4297-91ff-4226-a690-c9add0ffc9ac,Financials,610,True
MRSH,219700d3-c988-4d18-b38d-6a3be1156833,Financials,0,False
EXC,21a5e17d-c566-4f1b-8c25-0a505ba37478,Utilities,0,False
FOXA,21b45a5d-50c2-46be-bbae-02f5f23f7453,Communication,0,False
IBM,21d40833-6d13-4031-9af3-02f6a516d791,Information Technology,0,False
L,225a5e8a-938e-4a95-8bcb-3989a3df618d,Financials,0,False
EVRG,23b6465e-8a20-4fd8-96f9-95d1e0647fa2,Utilities,0,False
ROP,23e965be-de5f-44cd-8e2c-b4fbbea0ec9c,Information Technology,0,False
GD,2430989b-3b12-4bff-9927-870040f8122a,Industrials,0,False
CB,2453845c-4785-46de-b332-6ee2438da196,Financials,0,False
PTC,24a89c84-6175-465b-ac54-789c3fd8a47b,Information Technology,0,False
PYPL,24cbba8c-831b-44e2-8503-dd0c2ed7af8f,Financials,0,False
CSGP,2506e58c-1f7c-42a5-9bb9-cd0fd6645fd0,Real Estate,0,False
AFL,25335910-dc9d-45fe-bc65-dc6b0ff5e2f4,Financials,0,False
FRT,25f9fcbe-adbc-4d6d-85a0-e322b3c93889,Real Estate,0,False
CRWD,26226278-b62c-47ec-a1bd-cf0dbd14b420,Information Technology,0,False
BSX,2652a688-e44c-469e-92f8-8ece2594d4c0,Health Care,0,False
ELV,267f9ea7-eb9a-41cd-946f-5fab57943f0a,Health Care,0,False
ORCL,27982558-2464-4daf-bb2f-b3b728659884,Information Technology,0,False
WSM,2820b0fc-1249-44d4-b749-18378cec217c,Consumer Discretionary,0,False
AXON,28d765e8-8085-4716-bde2-de0182b644e5,Industrials,490,True
PCAR,29e34616-a842-4a30-908c-32eddd0c7e23,Industrials,0,False
ADBE,2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4,Information Technology,0,False
CIEN,2ada15fb-1cf1-4241-a97b-0837322da8d6,Information Technology,0,False
GPN,2ae65e45-78f1-448b-b33d-08220c03f317,Financials,0,False
FTNT,2b7d41ee-36a4-4c7e-b783-896568c61ed0,Information Technology,0,False
DAL,2cba3bdd-3f2a-4212-b64c-7bff33ad0f39,Industrials,0,False
T,2d6ed211-6d9b-46d9-b9d5-d3f8b453fd9a,Communication,0,False
IRM,2da35038-7511-48aa-81cf-3f6c377f7c09,Real Estate,0,False
ULTA,2e3d3b75-58cc-40f5-bf12-b73da8aac3d3,Consumer Discretionary,0,False
TDG,2e65dd16-9fd7-42c7-aa0f-bd7950f028be,Industrials,0,False
PPL,2ebe177b-c523-4c1f-9276-8f0759a67a52,Utilities,0,False
DG,2edb3ef9-b5d8-4667-be8f-334884498ac9,Consumer Staples,0,False
WTW,2f1bca3b-ed44-4246-ade0-f90c9ad52790,Financials,687,True
DIS,2f34c0b3-a4aa-4959-b52c-3c41b2c246c4,Communication,0,False
ALLE,2f630203-b16e-463e-95a9-9f2a585138c4,Industrials,0,False
XYL,2f9e8a74-914c-4b63-90f0-577fd772da6f,Industrials,0,False
