session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover,missing_held_return
2022-11-08,0.0005799888621349303,0.0,3.771031363872563e-05,0.0005422785484962047,0.9348915461679728,0.01727391429231567,0.0,False
2022-11-09,-0.0013080712255130154,0.0,3.7888249489393385e-05,-0.0013459594750024088,0.9397916308550497,0.017844226613143797,0.0,False
2022-11-10,-0.002167954612389788,0.0,3.72405505389272e-05,-0.0022051951629287153,0.9227451721606054,0.016558442380043475,0.0,False
2022-11-11,-0.0032864615013296393,0.0,3.940283751628555e-05,-0.003325864338845925,0.9732246712985759,0.014422291735627424,0.0,False
2022-11-14,0.0017707307918719553,0.0,0.00011967055570220966,0.0016510602361697456,0.981834164112609,0.01117299008357503,0.0,False
2022-11-15,-0.0022865738713780197,0.0,3.9411821680814724e-05,-0.0023259856930588343,0.9719433794721806,0.012922385239022388,0.0,False
2022-11-16,0.0013530340025146182,0.0,4.004367711439491e-05,0.0013129903254002233,0.9850567509057833,0.0106606077888405,0.0,False
2022-11-17,0.001245328346062032,0.0,3.947795119828461e-05,0.0012058503948637474,0.9726280345045191,0.011997888679593609,0.0,False
2022-11-18,-0.0007053264551160048,0.0,3.922302808984073e-05,-0.0007445494832058455,0.9676542837734076,0.013227266920616428,0.0,False
2022-11-21,0.0018611765909332283,0.0,0.00011862814197654921,0.0017425484489566791,0.9747373110930166,0.012531270616561906,0.0,False
2022-11-22,-0.0001775757816071153,0.0,3.9336992241518825e-05,-0.00021691277384863414,0.9715675558408485,0.014367411297223624,0.0,False
2022-11-23,-0.0008692819032736414,0.0,3.988809667960166e-05,-0.0009091699999532431,0.9848032666769653,0.01419291413999164,0.0,False
2022-11-25,0.0004173525965601162,0.0,8.016951761587395e-05,0.00033718307894424227,0.9887315543664421,0.01333575670664233,0.0,False
2022-11-28,-0.00041020361829021237,0.0,0.00012048055825056212,-0.0005306841765407745,0.9909796682495637,0.013748473550559902,0.0,False
2022-11-29,-0.0008680945484903322,0.0,3.954832663200424e-05,-0.0009076428751223364,0.9756879668115626,0.013345352099459223,0.0,False
2022-11-30,-0.0014280463357757736,0.0,3.9711217315704894e-05,-0.0014677575530914785,0.9787948807486692,0.012488592733183486,0.0,False
2022-12-01,-0.0008545522053984688,0.0,4.0873209538917636e-05,-0.0008954254149373865,1.0056582365744817,0.0110768044608192,0.0,False
2022-12-02,0.0003863241985330376,0.0,4.0926828710528024e-05,0.0003453973698225096,1.0061175790128145,0.01023141372329929,0.0,False
2022-12-05,-0.0013644303566947948,0.0,0.00012258225026283683,-0.0014870126069576317,1.0048923239812309,0.010614071849332484,0.0,False
2022-12-06,0.0006232424033060601,0.0,4.022790662854811e-05,0.000583014496677512,0.9881424776041441,0.009263416309473353,0.0,False
2022-12-07,0.00031919829952268175,0.0,3.9655282774797006e-05,0.00027954301674788475,0.9748261121927289,0.009880898006001736,0.0,False
2022-12-08,0.0008179233723058707,0.0,3.957665426458402e-05,0.0007783467180412867,0.9732291661748997,0.010197245736688652,0.0,False
2022-12-09,0.0008119316870236305,0.0,3.9798302060396526e-05,0.000772133384963234,0.9794319522926447,0.011006602156329344,0.0,False
2022-12-12,-0.0002868386296077539,0.0,0.00011795007546023757,-0.00040478870506799146,0.9685155830213933,0.011809415399466158,0.0,False
2022-12-13,-0.0005164990030260851,0.0,3.9906488886599823e-05,-0.000556405491912685,0.9825851391081672,0.011527242867571784,0.0,False
2022-12-14,-0.0007040123857248053,0.0,4.018003925159018e-05,-0.0007441924249763955,0.9887311621689447,0.011016873713583644,0.0,False
2022-12-15,-0.0002642250366380554,0.0,3.999858595076016e-05,-0.0003042236225888156,0.9836194665987164,0.010320541796885727,0.0,False
2022-12-16,-0.0015116817547330221,0.0,3.9066742304096244e-05,-0.0015507484970371183,0.9606834397933868,0.010059377060377966,0.0,False
2022-12-19,0.0007531422707438629,0.0,0.0001164026090600538,0.0006367396616838091,0.9527154669282211,0.008560971218895822,0.0,False
2022-12-20,-0.0009522595052096944,0.0,3.842997582351675e-05,-0.0009906894810332112,0.9444375983036288,0.009308186598054359,0.0,False
2022-12-21,3.286877874493889e-05,0.0,3.856750761025655e-05,-5.6987288653176545e-06,0.9468402319473506,0.008364213431107978,0.0,False
2022-12-22,-0.0002852134024378931,0.0,3.91357477279192e-05,-0.00032434915016581233,0.9607003247755208,0.008397130062820387,0.0,False
2022-12-23,0.0008453809825531514,0.0,3.866277261241819e-05,0.0008067182099407332,0.94890868217617,0.008114548607327259,0.0,False
2022-12-27,0.00018064514603078924,0.0,0.0001553561709064223,2.5288975124366933e-05,0.9540360802919601,0.008952707277891084,0.0,False
2022-12-28,0.00036653082101755657,0.0,3.878427243353808e-05,0.0003277465485840185,0.952883750672734,0.009133121456640537,0.0,False
2022-12-29,-0.000464044428002227,0.0,3.823880904191205e-05,-0.000502283237044139,0.9399742265060352,0.009496539819508742,0.0,False
2022-12-30,-0.0010437606432764043,0.0,3.887779686570356e-05,-0.0010826384401421078,0.9550634249412564,0.009037034542469818,0.0,False
2023-01-03,-0.0011620256024544183,0.0,0.00015534050154296744,-0.0013173661039973857,0.9529899881569496,0.008001937103897688,0.0,False
2023-01-04,-0.004762323173470047,0.0,3.880105374576958e-05,-0.004801124227215817,0.9510079085354091,0.0068489340550158505,0.0,False
2023-01-05,-0.0018581014166604356,0.0,3.964494615898788e-05,-0.0018977463628194234,0.966790367158383,0.002096677289677936,0.0,False
2023-01-06,-0.000859171665176328,0.0,3.944132930160785e-05,-0.0008986129944779359,0.9599780424961546,0.00023902949036344427,0.0,False
