session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2011-11-02,-0.0028551542877193405,0.0,5.628364000954221e-06,-0.0028607826517202946,0.9919882800566636,0.5811177079870052,0.0
2011-11-03,-0.005700481356228346,0.0,5.666752937807034e-06,-0.005706148109166153,0.9935945477640742,0.5799215833041608,0.0
2011-11-04,0.0019709420945025445,2.0224470917596088e-05,5.994032681121279e-06,0.0019447235909038272,1.0000000000258513,0.5624356143039981,0.09983654130440814
2011-11-07,0.005663614027431673,0.0,1.7924594753684737e-05,0.005645689432677989,0.9994762110739619,0.5633110720676334,0.0
2011-11-08,-0.0075858375212488095,0.0,5.853973659405175e-06,-0.0075916914949082145,0.9931205424374779,0.5657804653009002,0.0
2011-11-09,0.014675745126079878,0.0,5.982438796591673e-06,0.014669762687283287,0.9991827183049027,0.5624646861537107,0.0
2011-11-10,-0.002975892511850393,0.0,5.683322413982305e-06,-0.0029815758342643757,0.9836788604072826,0.5687963241865744,0.0
2011-11-11,-0.0010608535363274907,5.125495810421016e-05,5.899193771052563e-06,-0.0011180076882027535,0.9999999999510646,0.5693588546642275,0.24999999999200853
2011-11-14,0.009643002780927726,0.0,1.7625479524363083e-05,0.009625377301403363,0.9978207422226535,0.568934073796485,0.0
2011-11-15,0.0003150628130048254,0.0,5.657716448172536e-06,0.0003094050965566529,0.9860744475390665,0.5730611468224714,0.0
2011-11-16,0.005650093979169731,0.0,5.6232463338027145e-06,0.005644470732835928,0.9836958413547633,0.5731988589871653,0.0
2011-11-17,-0.002260815942483103,0.0,5.461035378954181e-06,-0.002266276977862057,0.9742555783007958,0.5755999956371405,0.0
2011-11-18,0.002713392236251401,3.069812193396751e-05,5.813696756845034e-06,0.0026768804175605885,0.9999999999553582,0.5756001367056708,0.1516512293981854
2011-11-21,-0.0013125828799718238,0.0,1.7117974212423246e-05,-0.001329700854184247,0.9933069582347296,0.5767695857324305,0.0
2011-11-22,0.0029036411174803585,0.0,5.7419513146951435e-06,0.0028978991661656635,0.9953856533162097,0.5762232073434642,0.0
2011-11-23,-0.0004008916185789544,0.0,5.7103337822619154e-06,-0.0004066019523612163,0.9943078127046641,0.5774534465995442,0.0
2011-11-25,-0.0048975130339180654,0.0,1.1505331852528976e-05,-0.004909018365770595,0.997231893733848,0.5772872811165405,0.0
