session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2014-06-06,0.0029202920614304654,0.0,1.0748398591447377e-05,0.002909543662839018,1.0042245062737298,0.2195914090980713,0.0
2014-06-09,-0.001728124576752288,0.0,3.216796104490975e-05,-0.0017602925377971977,1.0046198906046817,0.22186617184521107,0.0
2014-06-10,-0.003588911806766912,5.071049942878921e-05,1.0693264341585777e-05,-0.0036503155705372874,1.000000000003587,0.21939170306782504,0.2500000000026281
2014-06-11,-0.00044319614312769907,0.0,1.078684799452796e-05,-0.000453982991122227,1.0040333292155978,0.21659342561505682,0.0
2014-06-12,-0.0030201714371253328,0.0,1.0792159167923575e-05,-0.0030309635962932563,1.0040760218269735,0.21624840256855266,0.0
2014-06-13,0.0003814123005191933,0.0,1.0908548918741386e-05,0.00037050375160045196,1.0102005540335197,0.21387648296539866,0.0
2014-06-16,-4.968534589681672e-05,0.0,3.2841752985463606e-05,-8.252709888228033e-05,1.01332786395913,0.21417854131284905,0.0
2014-06-17,-0.0018500907534154145,5.1632623632013e-05,1.3501136508497838e-05,-0.0019152245135559253,1.0000000000187488,0.014417034898406816,0.25000000001399836
2014-06-18,0.0014623403897916594,0.0,1.356178809159242e-05,0.001448778601700067,1.0026015895357983,0.012591058849551667,0.0
2014-06-19,-0.010582127436393439,0.0,1.3573838085069656e-05,-0.010595701274478508,1.0049232486401705,0.014033068430085643,0.0
2014-06-20,0.000540755727961738,0.0,1.4049225233281091e-05,0.0005267065027284569,1.0290813397454859,0.003487897715966526,0.0
2014-06-23,-0.0009107861729028343,0.0,4.2171151892599694e-05,-0.000952957324795434,1.030191228696261,0.0040265326430017345,0.0
2014-06-24,0.001166753284689682,2.9369648948560256e-05,1.5068493150105523e-05,0.001122315142591016,0.9999999999622843,-0.09999999999541898,0.1427443361305027
2014-06-25,-0.0014613973302287323,0.0,1.5036568732775784e-05,-0.0014764338989615082,0.998947068481342,-0.09872244901129021,0.0
2014-06-26,1.3039487829956858e-05,0.0,1.5100828079619543e-05,-2.0613402496626845e-06,1.0020284699344664,-0.10033197987776038,0.0
2014-06-27,0.0015489135956455713,0.0,1.509996256542014e-05,0.0015338136330801512,1.0019781200938436,-0.10031914718182637,0.0
2014-06-30,-0.002691544545157074,0.0,4.5195396959336573e-05,-0.0027367399421164107,1.0011356888790548,-0.09861897046480156,0.0
2014-07-01,-0.00013334825229964256,1.369309205971877e-06,1.5068493151086289e-05,-0.00014978605465670072,1.0000000000405003,-0.09999999998879867,0.006821851150862757
2014-07-02,-0.0013550234677194592,0.0,1.5081557109219832e-05,-0.001370105024828679,1.0008053199058622,-0.10014834906718545,0.0
2014-07-03,-0.0017034532188115778,0.0,1.5117596609186788e-05,-0.0017185708154207645,1.001941918852674,-0.1016426336179617,0.0
2014-07-07,0.0033202247109478805,0.0,6.0625733723934586e-05,0.003259598977223946,1.0028956402996587,-0.10352400016214751,0.0
2014-07-08,0.001951367545659682,0.0,1.5032824396667721e-05,0.0019363347212630142,0.9975179684249593,-0.09987821253178408,0.0
2014-07-09,-0.0003094759108743183,4.081976649618567e-05,1.2328767123428687e-05,-0.00036262444449393263,0.999999999999814,0.09999999998951975,0.20210134483614256
2014-07-10,-0.0038986466701402857,0.0,1.2360747279780871e-05,-0.003911007417420067,1.0020612388372734,0.0997266874132699,0.0
2014-07-11,7.437846135100219e-05,0.0,1.248885875622251e-05,6.188960259477967e-05,1.0078909856644163,0.09620429646017292,0.0
2014-07-14,0.00832384049206397,0.0,3.752405937267515e-05,0.008286316432691294,1.0093581613764457,0.09627271664135031,0.0
2014-07-15,0.0019853661716514436,0.0,1.2209560423584465e-05,0.0019731566112278593,0.9950348707799295,0.10373695985826337,0.0
