symbol,security_id,sector,theoretical_weight,approved_weight,order_authorized
JCI,aa0bfa06-96bb-4fcc-bc56-0aa8a1c0be47,Industrials,0.0017642817401755,0.0,False
GILD,aa222c8c-5f60-4b88-bc73-7aaadf424628,Health Care,-0.0005703088467351,0.0,False
DPZ,aa3236c8-f2d6-40f1-a20d-b4cc69bffae8,Consumer Discretionary,-0.0012845458909211,0.0,False
PAYX,aaaaa8a6-79b2-4090-95df-45276d1f4d74,Industrials,-0.0006672710654226,0.0,False
DLR,ab1c95a1-cb3b-4eb0-83bd-d4a0cd608b0b,Real Estate,-0.0020947518548991,0.0,False
DVN,ab42bac7-0551-47fd-8f5b-3313142cb075,Energy,-0.000694648200688,0.0,False
TER,abb494ba-b24a-46bc-b050-2128e3303f60,Information Technology,0.0052476606568466,0.0,False
SPG,abda5459-cb41-44a7-85bb-c94d32ea7d93,Real Estate,0.001449582910586,0.0,False
NEE,ac20a75d-5bb4-4d10-96e8-f5e58e730139,Utilities,0.0024764503667152,0.0,False
JBL,ac8f1019-e8aa-4a5d-9434-97cc688bf606,Information Technology,-0.0017668561609671,0.0,False
BMY,ad22d1ca-8bfc-45cc-ae7f-5f091bbc8c7c,Health Care,0.0033400672734924,0.0,False
ROST,adcce409-1666-4ceb-89fa-ecbb458c18ea,Consumer Discretionary,0.00567807895763,0.0,False
TRV,af898beb-7df0-4dea-8b02-d6c5f4f70137,Financials,0.0052363398232627,0.0,False
PFE,b0940983-b0c6-42f1-97d5-b1b580e4431b,Health Care,-0.0003120574499004,0.0,False
AAPL,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,Information Technology,-0.000743117643072,0.0,False
UPS,b14caeab-f212-40ee-975a-38b9317e46b1,Industrials,0.0009238583330965,0.0,False
PM,b19c4863-d517-4472-9236-8864e50dfa3e,Consumer Staples,0.0021688754666411,0.0,False
WST,b20d6720-9f3a-4999-b04b-2df846ebd64a,Health Care,0.0025197589959588,0.0,False
VRSK,b297eda9-133d-4f92-80ff-9e55f7c8ee8b,Industrials,-0.0026948958991157,0.0,False
SWKS,b2b91a9b-3ecd-45ed-bf53-1f7d0613e1e8,Information Technology,-0.0043189340359824,0.0,False
GLW,b3ce91f9-c7b2-4ab2-9a16-57fb17e06294,Information Technology,0.0044860005013327,0.0,False
STZ,b459fd90-e740-4de1-b2e2-ecf548a51faf,Consumer Staples,-0.0036872379236907,0.0,False
RCL,b4ef8484-77d0-42d9-97a5-d67948cbb979,Consumer Discretionary,-0.0031465586426234,0.0,False
ON,b56defb4-e3f6-4756-ba80-143862d2dda1,Information Technology,-0.0017100502248275,0.0,False
FIX,b56fafb4-300c-4444-a83a-876ca63e1b3c,Industrials,0.0037366235532009,0.0,False
TPR,b599b102-254e-4a5c-838d-8cf26857e562,Consumer Discretionary,0.0016262808731117,0.0,False
WMB,b60af993-7490-471e-9926-1cbedb46fcef,Energy,-0.0035989439024255,0.0,False
ECL,b636b9b8-669c-4788-a0eb-ff5f6ea7f09e,Materials,-0.0042107127909057,0.0,False
HD,b6b1ea06-5d71-4146-be77-03f671788940,Consumer Discretionary,-0.0023980398381341,0.0,False
MSFT,b6d1aa75-5c9c-4353-a305-9e2caa1925ab,Information Technology,-0.0035114582452725,0.0,False
TGT,b70be706-b47c-4dbd-a6a7-4e98ea48c42a,Consumer Staples,0.0041101309881845,0.0,False
STX,b74ff3ea-545f-49e2-91ad-cd4e205642a4,Information Technology,0.0061753950350448,0.0,False
MMM,b7f45fa8-7969-4ad9-ad77-775880b14278,Industrials,-0.0008237919198115,0.0,False
CBOE,b82b16ae-90ca-400b-b053-db67a515e711,Financials,0.0045818326436829,0.0,False
IQV,b8a3bd96-7724-467b-b044-92a6f6d84fce,Health Care,0.0002978346120007,0.0,False
AKAM,b8af2065-5072-453b-9d95-5c3934c2fba7,Information Technology,0.0048854795980762,0.0,False
CSX,b8dd0cc3-7658-4c38-9c06-215c3377956e,Industrials,0.0034399167043025,0.0,False
LYV,b9f7677c-965f-4074-b87b-cea5c848b6ce,Communication,0.0013546074234744,0.0,False
PANW,ba1cc326-cf8d-4d7c-a49e-8b413555f3d0,Information Technology,0.0060877015027873,0.0,False
LH,ba597ea4-0f8c-4738-8f41-bfc97d76bc71,Health Care,-6.637319635058874e-05,0.0,False
CMI,badebe9a-89a1-4579-9e94-28e11d901b16,Industrials,0.0018264319170478,0.0,False
NFLX,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,Communication,-0.0048364545269974,0.0,False
CME,bc05b0d9-3b5d-4530-b500-3af2accbd71e,Financials,0.0020922776558425,0.0,False
MAR,bd10e4a3-a39d-4726-91cd-8b4d68a635ab,Consumer Discretionary,0.0040384029738046,0.0,False
CHRW,bdb9e72b-fe14-42fa-a784-aa451745bf12,Industrials,0.001882527011026,0.0,False
